Teste com a função original:

Lista original: 42 7 0 3 666 1 111 10 13 
Lista ordenada: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 0 nanosegundos.

Teste com a função otimizada:

Lista original: 42 7 0 3 666 1 111 10 13 
Lista ordenada: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 0 nanosegundos.

Usando 100 listas com 10000 termos:

(1) Função original: 958358900 nanosegundos.
(1) Função otimizada: 449490800 nanosegundos.
(2) Função original: 889075300 nanosegundos.
(2) Função otimizada: 468287100 nanosegundos.
(3) Função original: 925461700 nanosegundos.
(3) Função otimizada: 505951700 nanosegundos.
(4) Função original: 930153400 nanosegundos.
(4) Função otimizada: 429055400 nanosegundos.
(5) Função original: 860665400 nanosegundos.
(5) Função otimizada: 409074600 nanosegundos.
(6) Função original: 892727100 nanosegundos.
(6) Função otimizada: 439390300 nanosegundos.
(7) Função original: 929784200 nanosegundos.
(7) Função otimizada: 442760000 nanosegundos.
(8) Função original: 884168800 nanosegundos.
(8) Função otimizada: 454052300 nanosegundos.
(9) Função original: 936099500 nanosegundos.
(9) Função otimizada: 453559400 nanosegundos.
(10) Função original: 941784200 nanosegundos.
(10) Função otimizada: 456612400 nanosegundos.
(11) Função original: 904318100 nanosegundos.
(11) Função otimizada: 485396200 nanosegundos.
(12) Função original: 1017425200 nanosegundos.
(12) Função otimizada: 447584900 nanosegundos.
(13) Função original: 921886900 nanosegundos.
(13) Função otimizada: 439612600 nanosegundos.
(14) Função original: 729918300 nanosegundos.
(14) Função otimizada: 456834800 nanosegundos.
(15) Função original: 991733300 nanosegundos.
(15) Função otimizada: 485476500 nanosegundos.
(16) Função original: 956958600 nanosegundos.
(16) Função otimizada: 452743300 nanosegundos.
(17) Função original: 904733000 nanosegundos.
(17) Função otimizada: 454433600 nanosegundos.
(18) Função original: 886504700 nanosegundos.
(18) Função otimizada: 455686600 nanosegundos.
(19) Função original: 903286600 nanosegundos.
(19) Função otimizada: 431631100 nanosegundos.
(20) Função original: 886268200 nanosegundos.
(20) Função otimizada: 457574400 nanosegundos.
(21) Função original: 917817800 nanosegundos.
(21) Função otimizada: 442813500 nanosegundos.
(22) Função original: 901813400 nanosegundos.
(22) Função otimizada: 446761300 nanosegundos.
(23) Função original: 855046800 nanosegundos.
(23) Função otimizada: 410466200 nanosegundos.
(24) Função original: 966531800 nanosegundos.
(24) Função otimizada: 455582600 nanosegundos.
(25) Função original: 883024400 nanosegundos.
(25) Função otimizada: 426453200 nanosegundos.
(26) Função original: 886776500 nanosegundos.
(26) Função otimizada: 439549900 nanosegundos.
(27) Função original: 890183000 nanosegundos.
(27) Função otimizada: 453069100 nanosegundos.
(28) Função original: 897262200 nanosegundos.
(28) Função otimizada: 460601100 nanosegundos.
(29) Função original: 922925600 nanosegundos.
(29) Função otimizada: 440481000 nanosegundos.
(30) Função original: 947820600 nanosegundos.
(30) Função otimizada: 425872600 nanosegundos.
(31) Função original: 979859500 nanosegundos.
(31) Função otimizada: 457865500 nanosegundos.
(32) Função original: 992403400 nanosegundos.
(32) Função otimizada: 456087900 nanosegundos.
(33) Função original: 961345400 nanosegundos.
(33) Função otimizada: 492527600 nanosegundos.
(34) Função original: 927626400 nanosegundos.
(34) Função otimizada: 486148000 nanosegundos.
(35) Função original: 1005295200 nanosegundos.
(35) Função otimizada: 482196800 nanosegundos.
(36) Função original: 916086300 nanosegundos.
(36) Função otimizada: 464851100 nanosegundos.
(37) Função original: 1014455000 nanosegundos.
(37) Função otimizada: 470810400 nanosegundos.
(38) Função original: 931471700 nanosegundos.
(38) Função otimizada: 490725700 nanosegundos.
(39) Função original: 901622500 nanosegundos.
(39) Função otimizada: 481746900 nanosegundos.
(40) Função original: 1046250900 nanosegundos.
(40) Função otimizada: 462005200 nanosegundos.
(41) Função original: 908367700 nanosegundos.
(41) Função otimizada: 447283900 nanosegundos.
(42) Função original: 912261900 nanosegundos.
(42) Função otimizada: 485675300 nanosegundos.
(43) Função original: 926678300 nanosegundos.
(43) Função otimizada: 536201100 nanosegundos.
(44) Função original: 936398600 nanosegundos.
(44) Função otimizada: 467063200 nanosegundos.
(45) Função original: 899075700 nanosegundos.
(45) Função otimizada: 455518600 nanosegundos.
(46) Função original: 977225500 nanosegundos.
(46) Função otimizada: 442544300 nanosegundos.
(47) Função original: 928316500 nanosegundos.
(47) Função otimizada: 471021800 nanosegundos.
(48) Função original: 1080764800 nanosegundos.
(48) Função otimizada: 468242300 nanosegundos.
(49) Função original: 948982900 nanosegundos.
(49) Função otimizada: 478261200 nanosegundos.
(50) Função original: 929729800 nanosegundos.
(50) Função otimizada: 471575500 nanosegundos.
(51) Função original: 883916600 nanosegundos.
(51) Função otimizada: 462801600 nanosegundos.
(52) Função original: 1020943300 nanosegundos.
(52) Função otimizada: 430875400 nanosegundos.
(53) Função original: 993735800 nanosegundos.
(53) Função otimizada: 494211500 nanosegundos.
(54) Função original: 909189300 nanosegundos.
(54) Função otimizada: 498650900 nanosegundos.
(55) Função original: 936683600 nanosegundos.
(55) Função otimizada: 469408000 nanosegundos.
(56) Função original: 886789600 nanosegundos.
(56) Função otimizada: 428996500 nanosegundos.
(57) Função original: 917975600 nanosegundos.
(57) Função otimizada: 463271600 nanosegundos.
(58) Função original: 948359800 nanosegundos.
(58) Função otimizada: 482668000 nanosegundos.
(59) Função original: 890847800 nanosegundos.
(59) Função otimizada: 443398300 nanosegundos.
(60) Função original: 873950900 nanosegundos.
(60) Função otimizada: 425118900 nanosegundos.
(61) Função original: 990353300 nanosegundos.
(61) Função otimizada: 432848600 nanosegundos.
(62) Função original: 950224900 nanosegundos.
(62) Função otimizada: 459346600 nanosegundos.
(63) Função original: 977830900 nanosegundos.
(63) Função otimizada: 437406700 nanosegundos.
(64) Função original: 1144936100 nanosegundos.
(64) Função otimizada: 619181300 nanosegundos.
(65) Função original: 790240600 nanosegundos.
(65) Função otimizada: 243355900 nanosegundos.
(66) Função original: 910887600 nanosegundos.
(66) Função otimizada: 487025700 nanosegundos.
(67) Função original: 914849300 nanosegundos.
(67) Função otimizada: 472895100 nanosegundos.
(68) Função original: 985737800 nanosegundos.
(68) Função otimizada: 474516000 nanosegundos.
(69) Função original: 927700600 nanosegundos.
