Teste com a função original:

Lista original: Payload: 42 7 0 3 666 1 111 10 13 
Lista ordenada: Payload: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 400 nanosegundos.

Teste com a função otimizada:

Lista original: Payload: 42 7 0 3 666 1 111 10 13 
Lista ordenada: Payload: 0 1 3 7 10 13 42 111 666 
Tempo utilizado: 300 nanosegundos.

Usando 100 listas com 10000 termos:

(1) Função original: 1315700 nanosegundos.
(1) Função otimizada: 1291500 nanosegundos.
(2) Função original: 5415300 nanosegundos.
(2) Função otimizada: 6009700 nanosegundos.
(3) Função original: 12742700 nanosegundos.
(3) Função otimizada: 13841400 nanosegundos.
(4) Função original: 23610700 nanosegundos.
(4) Função otimizada: 25185600 nanosegundos.
(5) Função original: 37184300 nanosegundos.
(5) Função otimizada: 39819900 nanosegundos.
(6) Função original: 57309400 nanosegundos.
(6) Função otimizada: 61504300 nanosegundos.
(7) Função original: 81150700 nanosegundos.
(7) Função otimizada: 86359800 nanosegundos.
(8) Função original: 112128500 nanosegundos.
(8) Função otimizada: 116703400 nanosegundos.
(9) Função original: 140386200 nanosegundos.
(9) Função otimizada: 150668000 nanosegundos.
(10) Função original: 182094200 nanosegundos.
(10) Função otimizada: 192346500 nanosegundos.
(11) Função original: 224621100 nanosegundos.
(11) Função otimizada: 238755100 nanosegundos.
(12) Função original: 275990500 nanosegundos.
(12) Função otimizada: 290616600 nanosegundos.
(13) Função original: 341560300 nanosegundos.
(13) Função otimizada: 355394600 nanosegundos.
(14) Função original: 392390100 nanosegundos.
(14) Função otimizada: 420550600 nanosegundos.
(15) Função original: 458260800 nanosegundos.
(15) Função otimizada: 486158400 nanosegundos.
(16) Função original: 528043400 nanosegundos.
(16) Função otimizada: 553600200 nanosegundos.
(17) Função original: 612968800 nanosegundos.
(17) Função otimizada: 653978700 nanosegundos.
(18) Função original: 697299700 nanosegundos.
(18) Função otimizada: 732982400 nanosegundos.
(19) Função original: 799471800 nanosegundos.
(19) Função otimizada: 850272900 nanosegundos.
(20) Função original: 903674100 nanosegundos.
(20) Função otimizada: 940433900 nanosegundos.
(21) Função original: 1004367800 nanosegundos.
(21) Função otimizada: 1044027500 nanosegundos.
(22) Função original: 1111080800 nanosegundos.
(22) Função otimizada: 1158419300 nanosegundos.
(23) Função original: 1224087900 nanosegundos.
(23) Função otimizada: 1291274500 nanosegundos.
(24) Função original: 1324175200 nanosegundos.
